Aircraft,We (kg,W0 (kg),We/W0,AR,TWR,S (m^2),W0/S (N/m^2),Vmax (knots),Vmax(m/s) 
Embraer Phenom 100,3275,4800,0.682291667,8.053361378,0.327047231,18.7664,255.776281,400,205.7776
AgustaWestland AW609,4765,7620,0.625328084,2.793673469,0.379790026,49,155.5102041,275,141.4721
HondaJet HA420,3267,4854,0.673053152,8.5,0.382210496,17.28169412,280.875241,422,217.095368
Cessna M2 CJ1,3171,4853,0.653410262,9.298654709,0.367165722,22.3,217.6233184,404,207.835376
Pilatus PC-24,4965,8300,0.598192771,9.35,0.39,30.91,268.5215141,440,226.35536
Sino Swearingen SJ30,4045,6328,0.639222503,9.427473997,0.322176989,17.6516,358.4944141,486,250.019784
Hawker 400XPR,4763,7394,0.644170949,7.957628177,0.392638037,22.43,329.6477931,468,240.759792
Spectrum S-40 Freedom,3107,4336,0.716559041,9.612437811,0.3502902,20.1,215.721393,440,226.35536
Pegasus VBJ,3040,5700,0.533333333,4.427931478,0.601792983,46.7,122.0556745,410,210.92204
